,raw,iq_dr,original_ph,recovered_ph,mix,pll_vco,costas_vco,ed,v,acc,angle,angle_c,mon,mon_iq,demon
10,(0.9998072404820648+0.0196336924606283j),(0.9998072404820648+0.0196336924606283j),0.019634954084936207,0.0016191644361240876,(0.998971582048454+0.019642167818910643j),(0.9999986638795553+0.0016346984750371194j),(-0.7069042384493494+0.7073092659242812j),-0.0180246435194575,0.0007376196949936712,0.012741696900443106,0.0016346992030888596,-0.00036553967082805696,(0.7065818563779099+0.013893087301155228j),[0.21579699+0.00125397j],[0.06632915]
11,(0.9997667625569213+0.02159677027827362j),(0.7069418574089208+0.015271222715495376j),0.021598449493429824,0.0016346992030888963,(0.70606162943364+0.015390215904500843j),(0.9999985691900715+0.0016916317003988737j),(-0.9999999331903753+0.0003655396626873751j),-0.014235997472401328,0.000837556439209372,0.01423599652129968,0.0016916325072004795,0.026920149194210992,(0.0002580935298596712+5.625734330417114e-06j),[0.25942619+0.0017045j],[0.09556541]
12,(0.9997224302180006+0.02355976483361015j),(3.6729206226068625e-16+8.655717177643514e-18j),0.023561944901923447,0.0016916325072005023,(-0.00015515999049382017+0.0010887026880597888j),(0.9999970493683201+0.002429249812917512j),(-0.6878174575004276-0.7258836994709604j),-0.0010889636038917264,0.00011938818223173955,0.0007490081773393099,0.002429252202194151,0.024671902773293185,(0.00011262810790953323-0.0007902715348328185j),[0.30489683+0.00224845j],[0.13146917]
13,(0.9996742436362176+0.025522668558679504j),(-0.7068764366527027-0.018047252011818973j),0.025525440310417074,0.002429252202194032,(-0.7072501523108646-0.01821864143810882j),(0.9999946639853957+0.003266802830821916j),(0.024669399873476692-0.9996956640447544j),0.01650050038142118,0.00010173163036500022,0.0004070574420217338,0.003266808641403523,-0.0020654403524064946,(0.7070349106601636+0.018213096850463475j),[0.35002506+0.00285577j],[0.17314995]
14,(0.9996222029973468+0.02748547388587346j),(-0.9996222029973468-0.02748547388587346j),0.027488935718910697,0.003266808641403607,(-0.9997005449388398-0.028403402463458235j),(0.999994266841014+0.0033861903524312065j),(0.7056447870719087-0.708565758753724j),0.025137426332307464,0.0010511905558985956,0.01773809385179689,0.0033861968236352626,-0.0022175702508900356,(0.7083535751511003+0.020125678417707675j),[0.39425893+0.00353547j],[0.21989925]
15,(0.9995663085020212+0.02944817324796316j),(-0.7068001149873847-0.02082300299719106j),0.02945243112740431,0.003386196823635057,(-0.7078826007037704-0.020828306620333654j),(0.9999939171837167+0.00348792138185473j),(0.9999975411920988-0.002217568433363751j),0.018431161975183373,0.0011143638331164818,0.01843111665649668,0.0034879284540002627,0.024976882626397738,(0.001569778109848118+4.618819528167315e-05j),[0.43826557+0.00432378j],[0.2714773]
16,(0.9995065603657316+0.03141075907812829j),(-4.896170039514696e-16-1.5386834225527393e-17j),0.03141592653589793,0.0034879284540001443,(0.0003137179800444407+0.00010309482012343611j),(0.9999896982169948+0.004539103422881795j),(0.6892267434409862+0.7245457170708643j),-0.00010199996936611625,0.00012762091060962002,-7.030110671728866e-05,0.004539119009898858,0.02283631661177148,(0.00022730301880932241+7.469691037262679e-05j),[0.48121935+0.00521057j],[0.32668084]
17,(0.9994429588188255+0.033373223809986224j),(0.7067128935899392+0.023598432866097616j),0.03337942194439156,0.004539119009898673,(0.7063484778610127+0.023154769928859887j),(0.9999840191084368+0.005653452727084498j),(-0.022834331817067607+0.9997392626532521j),-0.019948342599838274,0.00015630908751202368,0.00045550707412525223,0.005653482843015339,-0.004110521462741046,(0.7061643064330159+0.02314873261558408j),[0.5212365+0.00615219j],[0.38326029]
18,(0.999375504106507+0.035335559877621193j),(0.999375504106507+0.035335559877621193j),0.03534291735288518,0.005653482843015478,(0.9996329181260297+0.036246993930118425j),(0.9999832894662355+0.005781071551812595j),(-0.7041942380047391+0.7100073768355685j),-0.0305950372237759,0.001311605384564723,0.021544848924523498,0.005781103753624959,-0.004335063699572242,(0.7097467459971469+0.025735633078498157j),[0.55810282+0.00715456j],[0.43985246]
19,(0.9993041964888351+0.037297759715613485j),(0.7066147738054305+0.026373498817976772j),0.03730641276137879,0.005781103753625061,(0.7069333149180512+0.026202294683720387j),(0.9999823736161587+0.005937377956056736j),(-0.9999906036260756+0.004335050121605198j),-0.022115024753489046,0.001373455968972633,0.022114816952447117,0.005937412841136983,0.022722800143431372,(0.0030645913528022637+0.0001135882607549973j),[0.59285065+0.00825901j],[0.49614497]
