open_time,open,high,low,close,volume
2020-06-29 08:00:00,225.04,229.95,221.0,228.2,2503.2684
2020-06-30 08:00:00,228.07,228.64,223.0,225.5,1493.66389
2020-07-01 08:00:00,225.51,232.69,224.19,231.13,2314.25058
2020-07-02 08:00:00,231.14,232.3,222.76,226.61,3759.08663
2020-07-03 08:00:00,226.43,228.44,224.46,224.98,2088.86738
2020-07-04 08:00:00,224.84,230.76,224.84,229.25,1913.15189
2020-07-05 08:00:00,229.56,229.85,223.46,228.06,3275.32847
2020-07-06 08:00:00,227.55,241.98,226.86,241.78,4008.00614
2020-07-07 08:00:00,241.57,243.57,234.27,238.95,3775.63214
2020-07-08 08:00:00,239.39,248.99,237.82,247.0,5273.58585
2020-07-09 08:00:00,246.74,247.56,238.0,242.1,2294.99057
2020-07-10 08:00:00,242.13,242.13,236.0,241.24,3196.4899
2020-07-11 08:00:00,241.32,241.55,237.7,239.31,2472.13811
2020-07-12 08:00:00,239.31,244.44,236.23,242.94,3758.29976
2020-07-13 08:00:00,242.76,245.09,237.25,239.63,5248.05406
2020-07-14 08:00:00,239.29,242.12,236.82,240.5,3076.19549
2020-07-15 08:00:00,240.51,241.36,236.7,238.51,2597.13831
2020-07-16 08:00:00,238.49,239.21,229.7,233.55,3457.23044
2020-07-17 08:00:00,233.55,234.53,231.49,232.98,2076.47682
2020-07-18 08:00:00,232.8,236.93,232.36,235.88,2573.44475
2020-07-19 08:00:00,235.79,239.9,233.44,239.12,3307.49774
2020-07-20 08:00:00,239.12,239.88,233.6,236.18,5553.07786
2020-07-21 08:00:00,235.99,246.95,235.64,245.8,5475.32071
2020-07-22 08:00:00,245.61,269.63,241.81,264.5,6637.04133
2020-07-23 08:00:00,264.76,280.15,259.94,275.86,10959.11592
2020-07-24 08:00:00,275.33,288.06,268.52,279.78,10336.10328
2020-07-25 08:00:00,279.8,309.52,279.66,305.95,17245.3663
2020-07-26 08:00:00,305.95,320.07,299.84,311.49,13876.25191
2020-07-27 08:00:00,311.34,334.11,311.28,322.3,21285.60963
2020-07-28 08:00:00,322.73,326.98,306.23,317.22,8687.16548
2020-07-29 08:00:00,317.88,325.32,313.0,318.63,7114.58592
2020-07-30 08:00:00,318.34,342.0,314.72,335.12,8368.36905
2020-07-31 08:00:00,335.12,350.42,329.0,347.32,7336.57911
2020-08-01 08:00:00,347.32,393.57,344.0,387.43,14278.51637
2020-08-02 08:00:00,387.36,415.98,340.7,371.64,23077.42754
2020-08-03 08:00:00,371.95,398.27,365.13,386.18,11046.92029
