,raw,iq_dr,original_ph,recovered_ph,mix,pll_vco,costas_vco,ed,v,acc,angle,angle_c,mon,mon_iq,demon
1682,(-0.9809068924086666-0.1944779381451082j),(-0.9809068924086666-0.1944779381451082j),-2.9458674551929476,-2.9457600585969157,(-0.9805647716749989-0.19392295813120086j),(-0.9804905589247476-0.19656618188141137j),(-0.6887566446930774+0.7249926098872553j),0.0005851977464458313,0.0019827328228577746,-0.00040305883632398107,3.3394471939472483,-0.025957066413767223,(-0.7109022129801581-0.14059271153259625j),[-0.7147887-0.12299544j],[0.72529324]
1683,(-0.9805150339891068-0.1964440585035363j),(-0.6933288295890279-0.13890692589165182j),-2.9438626650216433,-2.943738113232338,(-0.6922803564432874-0.13864853804980715j),(-0.9800945114276914-0.19853148029799922j),(-0.9996631342663765+0.025954151666435492j),0.00013532389100501252,0.0019968205980409525,-0.00013527830502319235,3.3414520013774935,9.681329559786678e-05,(-0.017967549366823106-0.0035985051848742467j),[-0.71463053-0.12442093j],[0.72538051]
1684,(-0.9801192298311933-0.19840941337322815j),(-1.0276386976692262e-13-2.0802896725054156e-14j),-2.941857850306648,-2.9417333058020922,(-6.083243545140141e-06-0.00021689641100567535j),(-0.9796989503156746-0.2004743543458j),(-0.7070383205350429-0.7071752352104717j),-0.00021137126662899722,0.002012217018965678,0.00014944758536673095,3.3434347342003514,0.0004098506636621922,(4.301919184877062e-06+0.0001533837704692456j),[-0.71505082-0.12595875j],[0.7260598]
1685,(-0.9797194813810626-0.20037399482573004j),(0.6927662889451014+0.14168581051470874j),-2.939853011047959,-2.939750572979235,(0.6928790239592655+0.1421623770628662j),(-0.9792966860890745-0.202430236414812j),(0.0004098506521588027-0.999999916011218j),0.0003718566148893099,0.002004255627869381,1.524056761219484e-07,3.345431554798392,-0.025442061023341,(-0.6928789657652001-0.1421623651228213j),[-0.71470797-0.12734047j],[0.72596325]
1686,(-0.9793157901008016-0.20233779493520873j),(0.9793157901008016+0.20233779493520873j),-2.9378481472455777,-2.9377537523811945,(0.9793830993241158+0.2020550828293376j),(-0.9788873702031324-0.2044003827217442j),(0.6888896258666909-0.7248662520584406j),-0.00038487931462832803,0.00198973103287251,-0.0002651393670581373,3.3474437718173577,-0.025769992912824374,(-0.7099217565364513-0.14646291059985972j),[-0.71377824-0.1286076j],[0.72527159]
1687,(-0.9789081574684416-0.2043008057784909j),(0.6921925963048223+0.14446248516785892j),-2.9358432588995034,-2.9357415353622285,(0.6934417112945648+0.1441243308979011j),(-0.9784757337454939-0.20636191138680912j),(0.9996679721080194-0.02576714073078544j),-0.0006582639288978398,0.001967842175150375,-0.000658045366913161,3.349448027445227,0.00018668600052605677,(-0.017868010163523736-0.003713671916976506j),[-0.71360011-0.13003527j],[0.72535088]
1688,(-0.9784965849779548-0.20626301943508935j),(1.900341564937852e-15+4.005841156317528e-16j),-2.9338383460097375,-2.933737279734359,(0.00036235089848192525+0.0009308041907979997j),(-0.9780631924107882-0.20830840513819276j),(0.706974761928616+0.7072387758006321j),0.0008359938895609958,0.0020352932939842424,0.0005910265810461626,3.3514377584780997,0.0004985577245545609,(0.00025626860585261594+0.0006583008164100753j),[-0.71399601-0.13158198j],[0.72601912]
1689,(-0.9780810741392485-0.20822442798724136j),(-0.6916077600739835-0.1472369050384467j),-2.9318334085762783,-2.9317475487014866,(-0.6915090814593716-0.14680687463331388j),(-0.977651380883556-0.2102326745690976j),(-0.0004985577038229162+0.9999998757201003j),0.0004607534256689805,0.002003762473306659,-2.2971216993006962e-07,3.35340560065325,-0.02544088562912911,(-0.6915089955186924-0.14680685638817023j),[-0.71362718-0.13296618j],[0.72590869]
1690,(-0.9776616264781616-0.21018502351993537j),(-0.9776616264781616-0.21018502351993537j),-2.9298284465991262,-2.929779706526336,(-0.9779158926311866-0.21023091999301308j),(-0.9772214711062149-0.21222204505895498j),(-0.6888904778698186+0.7248654423410547j),5.732437589123229e-05,0.002001612621041804,-3.949021670130012e-05,3.3554408939472347,-0.025770160512139265,(-0.7088574360844524-0.15238912881450228j),[-0.71266996-0.13422763j],[0.72520014]
1691,(-0.9772382435364589-0.2121447981209451j),(-0.6910117888394481-0.15000902534476868j),-2.9278234600782818,-2.927744413232352,(-0.69017124073578-0.15087343886047905j),(-0.976794267018138-0.2141797374181286j),(-0.9996679677894446+0.025767308274671732j),-0.0009672117242673639,0.002056656130932641,0.0009668905788204802,3.357444656420541,8.133868005425968e-05,(-0.01778385512235152-0.0038876024095778013j),[-0.71246169-0.13565132j],[0.72526043]
1692,(-0.9768109268718271-0.21410374388086262j),(-1.2347822663253697e-13-2.7064757244740334e-14j),-2.9258184490137444,-2.925740650759045,(-0.000704440338760369+7.48867958817611e-05j),(-0.976363605699266-0.21613447079521678j),(-0.7070492637153052-0.7071642939795849j),0.00022402583967509512,0.0019964215210464447,-0.000158397304995479,3.359446269041583,0.0003800098686483239,(0.000498155054810216-5.295726813811888e-05j),[-0.71282631-0.13719644j],[0.72590909]
1693,(-0.9763796780578693-0.2160618528931276j),(0.6904046913674272+0.15277880133645408j),-2.9238134134055156,-2.9237390381380033,(0.6897293029394072+0.1527393476752577j),(-0.975917026800694-0.21814205646892923j),(0.0003800098595424068-0.9999999277962507j),5.486234560589387e-05,0.002004869668171657,2.084823224786271e-08,3.3615029251725157,-0.025316286655088744,(-0.6897292531383654-0.15273933664690414j),[-0.71242736-0.13857423j],[0.72577917]
1694,(-0.9759444986840995-0.2180191172540648j),(0.9759444986840995+0.2180191172540648j),-2.921808353253593,-2.92168238200707,(0.9752028338651451+0.2179451214581537j),(-0.9754795787387526-0.2200899622056079j),(0.6889807900124376-0.7247796016678707j),-3.6396714512776374e-05,0.0020034956022515417,-2.507663711886982e-05,3.3634993466935623,-0.025643412888456667,(-0.7068071214741585-0.15796217831589635j),[-0.71143926-0.13982874j],[0.72505019]
1695,(-0.9755053903559393-0.2199755290629083j),(0.689786476604788+0.1555461882954974j),-2.919803268557979,-2.9196859604860244,(0.6904516540645481+0.15477683055467378j),(-0.9750363668742689-0.2220452279888632j),(0.9996712257047172-0.02564060252857289j),-0.0009798409798733587,0.0019512039100888403,-0.0009795188333457116,3.365504216361734,7.564479023841608e-05,(-0.017703596427064785-0.003968571192884666j),[-0.71119507-0.14125612j],[0.72508734]
